Reference;Nom;Categorie;Stock_Quantite;Prix_Unitaire;Valeur_Totale;Hauteur_cm;Diametre_cm;Statut;Date_Creation;Image_Disponible;Quantite_Reservee;Seuil_Alerte
6TERKC055;"Terra Cotta Kevin";autre;20;71.4;1428.00;50;55;OK;14/08/2025;OUI;0;0
6TERKT037;"Terra Cotta Kevin";autre;47;16.06;754.82;34;37;OK;14/08/2025;OUI;0;0
6TERKT047;"Terra Cotta Kevin";autre;11;34.81;382.91;42;47;OK;21/08/2025;OUI;0;0
6TERKT055;"Terra Cotta Kevin";autre;1;57.12;57.12;50;55;OK;21/08/2025;OUI;0;0
6TEROC038;"Terra Cotta Omar";autre;20;20.53;410.60;34;38;OK;21/08/2025;OUI;0;0
6TEROC045;"Terra Cotta Omar";autre;6;40.16;240.96;40;45;OK;14/08/2025;OUI;0;0
6TERPA700;"Terra Cotta";autre;7;38.38;268.66;70;36;OK;14/08/2025;OUI;0;0
6TS171705;"Palermo";autre;349;1.75;610.75;12;13;OK;21/08/2025;OUI;0;0
6TS171710;"Palermo";autre;85;6.75;573.75;25;27;OK;14/08/2025;OUI;0;0
6TS171711;"Palermo";autre;41;10;410.00;28;30;OK;14/08/2025;OUI;0;0
6TS171712;"Palermo";autre;23;13;299.00;32;35;OK;14/08/2025;OUI;0;0
6TS171721;"Palermo";autre;20;10;200.00;28;30;OK;14/08/2025;OUI;0;0
6TS171723;"Palermo";autre;30;18.25;547.50;36;40;OK;14/08/2025;OUI;0;0
F00004555;"Strelitzia nicolai";autre;1;112.64;112.64;160;38;OK;21/08/2025;OUI;0;0
F00004556;"Strelitzia nicolai";autre;4;129.36;517.44;190;40;OK;21/08/2025;OUI;0;0
